NOT,NOT,ΑΠΑΓΟΡΕΥΕΤΑΙ από το ΕΣΡ να λέτε nickname λογαρισμών social #kalytera
OFF,NOT,Έχω βαρεθεί την κλαψωμουνια της ελευθερίας #gntmgr
OFF,OFF,"Δε μας φτάνουν οι μαλακες στη καφετέρια όλοι με ένα τηλ στο αυτί βγαίνεις πλατεία βλέπεις άλλους τόσους τζιχαντιστές σορυ επενδυτές ήθελα να πω με ένα τηλ στο αυτί,"
OFF,NOT,@USER Είσαι γελοίος ανιστόρητος εθνικιστής. Απο που κι ως που ρε καθικι δικαιολογείται μια ολόκληρη εθνοκαθαρση στο όνομα κάποιων συνεργατών των ναζί; Το δογμα της συλλογικής ευθύνης ειναι ναζισμός ρε ξεφτίλα.
NOT,NOT,@USER Τουλαχιστον εισαι ειλικρινης
OFF,OFF,@USER τι θα γίνει μωρέ μαλάκες ζήτουλες παλιόγυφτοι; Θα σταματήσετε να ζητουλεύετε εδώ; Πείτε στη σχολή στο Μενίδι να σταματήσει να μου ζαλάει με τις ενημερώσεις. Εδώ είναι Αλεξάνδρας.
NOT,NOT,Κανέναν άλλον θα μας δείξουν σήμερα ; #erwtasmeta
NOT,NOT,"Τι τέλειο, βρε ζώα; Το ξεπουπουλιάσατε το έρμο το πτηνό... #gntmgr"
NOT,NOT,Εκλεισα #gntmgr ηχο κι έχω από πίσω σάουντρακ αυτό να έρθω να στανιαρω
NOT,NOT,"Τελικά, η Άννα Μαρία είναι η φωνή του twitter μέσα στο σπίτι #gntmgr"
NOT,NOT,παιδια πρεπει να φυγουν επιτελους οι Liak and the cover επιτελους δηλαδη παρατραβηξε το αστειο με αυτη τη μπαντα! #XFactorGR
OFF,OFF,@USER Ναι μωρη
NOT,NOT,#GynaikaXwrisOnoma βρε Ρένα μου.. Ο ένας (βλ.Ανδρεας) έσπασε χέρι.. Ο άλλος (βλ. Σταυρός) έσπασε πόδι.. 2 στα 2 έχεις
NOT,OFF,"Η μέρα μου σήμερα ιν ε μπριφ Φραπές,μποτέ,μπάμιες,σκύλος,παστίτσιο,συνέδριο,δουλειά,όπεν μπαρ,ζάντα,σκύλος,μανάβικο/24ωρο/ψιλικατζίδικο,μαλάκας πρώην,μοίρασμα παστίτσιου,γενέθλια στο βίντεοκλαμπ,λάντζα"
NOT,NOT,#ερχεται_ΠΟΥΤΣΑ Γιατί σας αξίζει!
NOT,NOT,Ας μιλήσουμε με αριθμούς. Τα ξημερώματα της Κυριακής έξω από το ξενοδοχείο ήτανε 30. Τα παιδιά στη σημερινή διαδήλωση ήταν περίπου 50. Επί εποχής Ειδομένης όμως κάθε Τετάρτη και Παρασκευή οι Γιαννιτσώτισες γυναίκες...
NOT,NOT,Γύρω στα 50 με σγουρό μαλλί..... ΠΟΣΟ στόκος είσαι ρε Τατιανα; #tatouaz
